patch_length_mm,reflection_mag
1.5,0.9549998493982641
1.5275,0.9549792030468425
1.555,0.9549174491613417
1.5825,0.954814730573843
1.61,0.9546712896218368
1.6375,0.9544874618535784
1.665,0.9542636672656826
1.6925,0.9540003983517232
1.72,0.9536982040515916
1.7475,0.9533576684740197
1.775,0.9529793830236941
1.8025,0.9525639103093357
1.83,0.9521117379558461
1.8575,0.951623220215741
1.885,0.9510985051052383
1.9125,0.9505374447209998
1.94,0.949939486476948
1.9675,0.9493035432978506
1.995,0.9486278413846024
2.0225,0.9479097450941008
2.05,0.9471455598179327
2.0775,0.9463303155486191
2.105,0.9454575361150244
2.1325,0.9445190018380136
2.16,0.9435045165422097
2.1875,0.9424016933370722
2.215,0.9411957771573112
2.2425,0.9398695254608045
2.27,0.9384031713813873
2.2975,0.9367744956228912
2.325,0.9349590340194394
2.3525,0.9329304465288707
2.38,0.9306610700620023
2.4074999999999998,0.9281226716596462
2.435,0.9252874099359285
2.4625,0.9221290014343967
2.49,0.9186240748639031
2.5175,0.9147536806452993
2.545,0.9105049066484573
2.5725,0.905872534543921
2.6,0.9008606561659139
2.6275,0.8954841571487528
2.6550000000000002,0.8897699673397742
2.6825,0.8837579754694624
2.71,0.8775015103607131
2.7375,0.8710673032495657
2.7649999999999997,0.8645348656854843
2.7925,0.8579952444578208
2.8200000000000003,0.8515491478590738
2.8475,0.8453044745012407
2.875,0.8393733144569179
2.9025,0.833868529926084
2.9299999999999997,0.8289000559935629
2.9575,0.8245710884957448
2.9850000000000003,0.8209743430762928
3.0125,0.818188575314112
3.04,0.8162755453131643
3.0675,0.8152775912776868
3.0949999999999998,0.8152159462979279
3.1225,0.8160898927481615
3.15,0.8178768020817482
3.1775,0.8205330577245918
3.205,0.8239958088522336
3.2325,0.828185456705959
3.26,0.8330087360439155
3.2875,0.8383622249990287
3.315,0.8441360988505525
3.3425000000000002,0.8502179378585111
3.37,0.8564964061937774
3.3975,0.8628646369994761
3.425,0.8692231858110244
3.4524999999999997,0.8754824484165724
3.48,0.8815644768918952
3.5075,0.8874041660594195
3.535,0.8929498192507863
3.5625,0.8981631346481078
3.59,0.9030186798529275
3.6175,0.9075029415476317
3.645,0.9116130487096228
3.6725,0.915355271984461
3.7,0.9187433992299379
3.7275,0.9217970790269906
3.755,0.9245402114935343
3.7825,0.9269994505204406
3.81,0.929202865032495
3.8375,0.9311787903756006
3.865,0.9329548855336803
3.8925,0.9345573983994463
3.92,0.936010630287235
3.9475000000000002,0.9373365825306025
3.975,0.9385547623558941
4.0024999999999995,0.9396821220741384
4.029999999999999,0.9407331046564248
4.0575,0.9417197695377129
4.085,0.9426519745833707
4.1125,0.9435375931137665
4.140000000000001,0.9443827483185401
4.1675,0.9451920509696615
4.195,0.9459688297998192
4.2225,0.9467153470635556
4.25,0.9474329945262157
4.2775,0.9481224673738796
4.305,0.9487839152981814
4.3325,0.9494170713111436
4.359999999999999,0.9500213597383803
4.3875,0.9505959853886915
4.415,0.9511400061730304
4.4425,0.9516523915127998
4.470000000000001,0.9521320687967592
4.4975000000000005,0.9525779599689677
4.525,0.9529890100986548
4.5525,0.9533642095285185
4.58,0.9537026109435145
4.6075,0.9540033424629649
4.635,0.9542656176438252
4.6625,0.9544887430965329
4.6899999999999995,0.9546721242579783
4.717499999999999,0.9548152697374721
4.745,0.9549177945484345
4.7725,0.9549794224575898
4.8,0.9549999876211307
